Employee ID,First Name,Last Name,Gender,Date of Birth,Date of Hire,Department,Job Title,Manager ID,Employment Status
E1060,Joseph,Smith,Male,1959-08-02,2022-11-25,Recruitment,Recruiter,,Full-time
E1061,Stephen,Martinez,Non-Binary,1986-02-04,2007-07-29,Sales,Sales Associate,E1008,Part-time
E1062,Shane,Valencia,Female,1986-02-23,2013-10-05,HR,HR Specialist,,Contract
E1063,Christy,Marks,Non-Binary,1999-09-22,2023-02-20,Sales,Sales Manager,E1052,Full-time
E1064,Tammy,Lopez,Male,1972-08-18,1999-01-30,Accounting,Accountant,,Full-time
E1065,Leslie,Martin,Female,2003-07-10,2023-10-21,Accounting,Accountant,E1001,Part-time
E1066,Kevin,Fisher,Male,1987-01-08,2010-11-11,Recruitment,Recruiter,E1035,Full-time
E1067,John,Harrison,Male,1966-03-18,1997-09-02,HR,HR Specialist,E1010,Part-time
E1068,John,Rodriguez,Female,1963-12-17,1996-03-18,Sales,Sales Manager,,Part-time
E1069,Adam,Hurley,Non-Binary,1993-12-26,2011-03-02,Consulting,Consultant,E1041,Contract
E1070,Candice,Ryan,Female,1987-09-03,2015-11-24,Recruitment,Senior Recruiter,,Full-time
E1071,Patrick,Esparza,Male,1999-03-07,2022-06-02,IT,IT Manager,E1034,Contract
E1072,David,Garza,Female,1985-12-30,2023-11-21,Consulting,Consultant,,Contract
E1073,Keith,Hall,Male,1989-03-02,2007-03-17,Consulting,Senior Consultant,E1096,Contract
E1074,Megan,Alexander,Non-Binary,1996-07-28,2014-09-22,HR,HR Assistant,E1004,Part-time
E1075,Brooke,Johnson,Non-Binary,1979-06-22,2016-02-06,Sales,Sales Associate,,Contract
E1076,Vincent,Wagner,Male,1993-08-25,2014-04-06,HR,HR Specialist,,Full-time
E1077,Justin,Kelly,Non-Binary,1984-01-22,2024-06-06,Consulting,Senior Consultant,,Part-time
E1078,Steven,Mcmillan,Male,1996-07-09,2014-11-17,Recruitment,Senior Recruiter,,Contract
E1079,Ellen,White,Female,1965-05-10,2002-09-17,Sales,Account Executive,,Part-time
E1080,Robert,Wilson,Male,2000-02-27,2024-08-25,Accounting,Finance Manager,E1081,Part-time
E1081,Gregory,Robertson,Male,1987-09-20,2024-06-26,Accounting,Finance Manager,E1042,Full-time
E1082,Jacqueline,Ward,Non-Binary,1983-03-18,2017-06-27,IT,Software Engineer,E1088,Part-time
E1083,Kyle,Davenport,Female,2004-03-27,2022-11-17,Sales,Sales Manager,,Part-time
E1084,Scott,Lewis,Male,1968-10-22,1994-11-18,Sales,Sales Associate,,Part-time
E1085,Kevin,Vazquez,Female,1980-01-24,2013-11-01,IT,System Administrator,,Contract
E1086,Michelle,Chan,Female,1984-11-09,2010-09-01,IT,System Administrator,,Full-time
E1087,Erica,Young,Female,1966-07-22,2021-03-18,Sales,Sales Associate,,Full-time
E1088,Megan,Moore,Non-Binary,1969-05-13,1991-04-22,HR,HR Assistant,,Full-time
E1089,Allen,Smith,Male,1990-06-24,2011-01-23,IT,IT Manager,,Full-time
E1090,Toni,Taylor,Non-Binary,2000-05-25,2024-07-01,Consulting,Lead Consultant,,Full-time
E1091,Michelle,Price,Male,1978-09-17,2011-06-09,Consulting,Senior Consultant,,Part-time
E1092,George,Fox,Female,1977-06-29,1999-06-05,Accounting,Billing Specialist,,Full-time
E1093,Rebecca,Galloway,Female,1980-04-17,2005-08-28,Recruitment,Senior Recruiter,,Contract
E1094,Jared,Strong,Non-Binary,1998-01-12,2019-09-11,Recruitment,Senior Recruiter,E1072,Contract
E1095,Devin,Atkinson,Female,1987-09-13,2018-12-12,Recruitment,Recruiter,E1025,Contract
E1096,Tara,Smith,Male,1987-08-12,2018-12-08,Accounting,Accountant,E1080,Part-time
E1097,April,Mullen,Non-Binary,1982-06-14,2018-02-18,Consulting,Consultant,,Part-time
E1098,Emma,Martinez,Male,1966-12-05,2022-12-18,IT,Software Engineer,E1056,Part-time
E1099,Lindsey,Lucero,Non-Binary,1969-02-09,1998-01-25,Accounting,Finance Manager,E1045,Contract
E1100,Shannon,Robinson,Female,1971-02-04,1995-07-24,Consulting,Consultant,,Part-time
E1101,Brian,Smith,Non-Binary,1986-04-01,2020-12-05,IT,Software Engineer,E1076,Full-time
E1102,Robert,Dennis,Non-Binary,1962-12-29,2024-08-05,Sales,Account Executive,E1057,Part-time
E1103,Misty,Martin,Non-Binary,1982-04-20,2003-09-06,IT,System Administrator,E1026,Contract
E1104,Calvin,Wright,Non-Binary,2004-11-05,2023-02-24,Accounting,Accountant,E1057,Part-time
E1105,Ashley,Washington,Female,1968-10-13,2015-12-16,Accounting,Finance Manager,E1043,Contract
E1106,Samantha,Brown,Female,1966-12-11,1990-05-28,Sales,Sales Associate,E1018,Full-time
E1107,Megan,Rice,Male,1979-10-26,2001-12-04,IT,IT Manager,E1017,Contract
E1108,Suzanne,Ramirez,Male,1959-05-16,2011-12-31,Consulting,Senior Consultant,,Full-time
E1109,David,Humphrey,Male,1993-04-05,2022-03-03,IT,System Administrator,,Contract
E1110,Anita,Scott,Male,1991-03-18,2017-01-04,HR,HR Assistant,,Part-time
E1111,Paul,Stewart,Non-Binary,1970-05-25,1991-03-14,Consulting,Senior Consultant,,Part-time
E1112,Alexander,Howell,Male,1997-09-27,2017-11-24,Accounting,Finance Manager,E1030,Full-time
E1113,Jeffery,Johnson,Non-Binary,1989-05-30,2008-03-01,Recruitment,Senior Recruiter,E1098,Part-time
E1114,Jacob,Martinez,Non-Binary,1971-08-21,2005-04-06,Consulting,Senior Consultant,,Part-time
E1115,Lindsay,Ortiz,Male,1996-04-06,2016-11-08,Consulting,Consultant,,Part-time
E1116,Lori,Young,Female,1966-07-11,1997-08-12,IT,IT Manager,E1031,Contract
E1117,Brian,Obrien,Female,2004-09-23,2022-07-24,Recruitment,Recruitment Manager,E1095,Contract
E1118,Crystal,Keith,Female,1996-04-11,2018-02-25,Accounting,Billing Specialist,,Full-time
E1119,Troy,Weaver,Female,1985-11-17,2006-06-04,IT,System Administrator,,Contract
E1120,Denise,Henry,Female,1960-05-22,1993-03-29,Consulting,Consultant,E1058,Contract
E1121,Amanda,Payne,Female,1990-03-15,2014-05-06,Recruitment,Recruiter,,Contract
E1122,Jose,Curtis,Male,1973-06-05,2017-05-05,Consulting,Consultant,,Contract
E1123,Jeanette,Shannon,Male,1961-04-10,1988-02-16,Recruitment,Senior Recruiter,E1054,Part-time
E1124,Aaron,Miller,Non-Binary,1987-12-31,2014-09-11,Accounting,Finance Manager,,Part-time
E1125,Julie,Barrett,Female,2001-09-18,2021-03-14,HR,HR Manager,E1005,Full-time
E1126,Elizabeth,Wade,Male,1975-10-26,1997-06-28,Recruitment,Recruitment Manager,,Contract
E1127,Paul,Cook,Male,1967-11-06,2010-10-20,Recruitment,Senior Recruiter,E1026,Full-time
E1128,David,Hartman,Female,1980-10-22,2006-12-27,HR,HR Assistant,,Part-time
E1129,Christine,Brown,Male,1996-10-30,2018-12-01,Recruitment,Senior Recruiter,E1027,Contract
E1130,Kristen,Garcia,Male,1966-07-26,2020-06-30,HR,HR Assistant,,Contract
E1131,Joshua,Robinson,Male,1994-01-26,2014-03-28,IT,System Administrator,E1010,Contract
E1132,Angela,Coleman,Male,1990-08-03,2008-03-01,Accounting,Finance Manager,E1001,Full-time
E1133,Douglas,Grant,Female,1983-10-17,2019-10-18,HR,HR Manager,,Contract
E1134,Kristina,Peters,Non-Binary,1978-01-05,2004-11-14,Accounting,Accountant,E1063,Part-time
E1135,Stephen,King,Non-Binary,1968-10-19,1998-07-06,IT,System Administrator,,Contract
E1136,Jonathan,Vasquez,Non-Binary,1966-01-05,2021-07-26,Sales,Sales Manager,E1068,Full-time
E1137,Brenda,Heath,Female,1995-05-08,2016-10-12,IT,Software Engineer,E1022,Full-time
E1138,Sarah,Bell,Female,1987-02-23,2020-04-14,Accounting,Accountant,E1082,Part-time
E1139,Brett,Henson,Non-Binary,1992-12-14,2021-10-08,Consulting,Lead Consultant,E1015,Contract
E1140,Samantha,Moore,Male,1998-08-15,2022-06-13,Sales,Sales Associate,,Full-time
E1141,Jeff,Hebert,Male,1959-01-20,2002-04-26,Accounting,Billing Specialist,,Contract
E1142,William,Garcia,Female,1963-10-03,2009-10-28,Sales,Account Executive,E1081,Contract
E1143,Pamela,Austin,Female,1986-08-01,2017-12-10,HR,HR Manager,E1043,Full-time
E1144,Amanda,Turner,Non-Binary,1991-06-14,2015-12-15,Accounting,Finance Manager,,Full-time
E1145,Richard,Rodriguez,Female,1988-10-06,2016-03-09,HR,HR Manager,,Part-time
E1146,Erin,Butler,Male,2000-01-04,2018-05-12,Sales,Sales Associate,E1025,Full-time
E1147,Tina,King,Male,1965-08-19,2023-11-14,Accounting,Accountant,,Contract
E1148,Frank,Taylor,Non-Binary,1975-03-14,2022-01-14,Recruitment,Recruiter,,Full-time
E1149,Mary,Perez,Non-Binary,1975-09-09,1999-11-15,IT,Software Engineer,E1084,Contract
E1150,Nicholas,Clark,Male,1979-08-16,2009-07-18,HR,HR Manager,,Contract
E1151,Joshua,Garcia,Male,1991-01-12,2016-11-05,Sales,Account Executive,E1091,Full-time
E1152,John,Thomas,Female,1962-09-20,2024-05-21,Sales,Sales Manager,,Full-time
E1153,Andrea,Shelton,Non-Binary,1996-11-10,2022-03-28,IT,System Administrator,E1030,Full-time
E1154,Sydney,Ruiz,Non-Binary,1982-10-06,2018-03-19,Sales,Sales Associate,,Contract
E1155,Aimee,House,Non-Binary,1977-11-06,2005-11-16,Consulting,Consultant,,Contract
E1156,Amanda,Gray,Male,1995-07-03,2016-03-09,IT,IT Manager,,Contract
E1157,Joshua,Clark,Non-Binary,1999-04-25,2024-07-26,HR,HR Assistant,E1065,Contract
E1158,James,Simpson,Non-Binary,1988-01-22,2006-12-12,Consulting,Senior Consultant,,Part-time
E1159,Jennifer,Long,Female,1995-02-18,2021-10-02,Sales,Sales Associate,E1048,Part-time
E1160,Robert,Alvarado,Male,1999-01-27,2018-05-25,Sales,Account Executive,,Contract
E1161,Richard,Martin,Non-Binary,2000-01-27,2024-03-04,HR,HR Specialist,,Full-time
E1162,Brooke,Sharp,Non-Binary,1973-05-27,1994-02-02,Accounting,Billing Specialist,,Part-time
E1163,Leslie,Richards,Non-Binary,1981-08-04,1999-10-16,HR,HR Assistant,,Contract
E1164,Chad,Cox,Male,1991-06-16,2018-02-17,Sales,Account Executive,E1019,Part-time
E1165,Carlos,Anderson,Male,1964-01-29,1990-11-18,Accounting,Accountant,E1030,Contract
E1166,Amanda,Briggs,Female,1971-10-14,1995-07-01,IT,System Administrator,,Part-time
E1167,Michael,Graham,Male,1962-03-22,1994-07-01,Consulting,Lead Consultant,,Contract
E1168,Dalton,Smith,Male,1989-03-13,2012-07-02,Accounting,Finance Manager,E1061,Contract
E1169,Lonnie,Jones,Male,2004-05-31,2022-07-19,Recruitment,Recruiter,E1018,Part-time
E1170,Michael,Thompson,Female,1998-09-24,2022-02-15,HR,HR Assistant,,Part-time
E1171,Lori,Torres,Female,1996-07-06,2023-11-05,HR,HR Assistant,,Contract
E1172,Vincent,Rios,Female,1959-05-04,2006-01-26,Consulting,Senior Consultant,E1083,Full-time
E1173,Crystal,Velasquez,Female,2002-03-15,2022-01-05,Consulting,Consultant,,Contract
E1174,Michelle,Myers,Female,1981-12-12,2000-05-14,HR,HR Manager,E1092,Part-time
E1175,Wanda,Lopez,Female,1974-11-25,1994-05-10,IT,Software Engineer,,Contract
E1176,Allison,Blake,Female,1997-11-08,2015-06-06,Consulting,Senior Consultant,,Part-time
E1177,Shawn,Mitchell,Male,1966-07-18,1984-03-10,Sales,Sales Associate,,Full-time
E1178,Autumn,Lawrence,Male,1977-01-18,1995-04-18,Accounting,Finance Manager,,Full-time
E1179,Joseph,Lawson,Non-Binary,2001-06-11,2019-09-27,Consulting,Consultant,E1034,Contract
E1180,Michael,Stephens,Female,1987-04-13,2012-12-19,IT,Software Engineer,,Part-time
E1181,Marcus,Jones,Non-Binary,1965-06-28,2020-12-29,Accounting,Billing Specialist,,Full-time
E1182,Jessica,Douglas,Male,1992-09-16,2011-08-28,Sales,Sales Associate,E1070,Part-time
E1183,Donald,Morrison,Non-Binary,1965-09-19,2016-03-04,Sales,Account Executive,,Full-time
E1184,Lori,Page,Male,1997-08-17,2020-07-28,Consulting,Senior Consultant,E1046,Part-time
E1185,Melissa,Davidson,Female,1981-01-21,2011-05-20,Sales,Sales Manager,,Contract
E1186,Elizabeth,Martin,Male,2004-07-06,2022-09-15,HR,HR Assistant,E1080,Full-time
E1187,Abigail,Garrett,Male,1968-07-01,2004-09-26,Sales,Account Executive,,Full-time
E1188,Daniel,Davis,Male,1975-04-19,1997-10-20,Consulting,Consultant,,Full-time
E1189,Debra,Cortez,Male,1997-04-30,2023-08-08,Sales,Sales Associate,,Full-time
E1190,Jennifer,Soto,Male,2000-06-06,2019-03-17,Consulting,Senior Consultant,,Full-time
E1191,William,Stevens,Female,1995-09-03,2013-01-02,IT,Software Engineer,,Contract
E1192,Keith,Garcia,Female,1994-06-07,2022-12-21,Sales,Account Executive,E1066,Part-time
E1193,Laura,Garcia,Female,1995-08-08,2020-02-08,Consulting,Senior Consultant,E1055,Contract
E1194,Maria,Brown,Male,1964-05-22,1992-06-19,Recruitment,Recruitment Manager,,Full-time
E1195,Richard,Spencer,Non-Binary,1986-04-27,2014-03-26,IT,Software Engineer,E1006,Part-time
E1196,David,Hopkins,Non-Binary,1991-10-01,2023-03-23,HR,HR Specialist,E1088,Contract
E1197,Michelle,Perry,Male,1970-03-31,1996-10-13,HR,HR Manager,E1085,Full-time
E1198,John,Johnson,Non-Binary,1963-03-22,2018-02-23,Sales,Sales Manager,E1083,Full-time
E1199,Latasha,Singh,Female,1966-10-22,1989-10-27,Accounting,Accountant,E1069,Part-time
E1200,Rachel,Miller,Non-Binary,2002-02-28,2023-06-19,HR,HR Manager,,Contract
E1201,Elizabeth,Foster,Female,1960-08-30,2000-01-07,IT,Software Engineer,,Contract
E1202,Linda,Robertson,Female,1984-12-15,2023-12-17,IT,Software Engineer,,Full-time
E1203,Paul,Jenkins,Non-Binary,1989-10-29,2019-04-10,HR,HR Assistant,,Full-time
E1204,Ashley,Clark,Male,1999-02-10,2017-01-20,Accounting,Finance Manager,E1017,Part-time
E1205,Richard,Wilson,Non-Binary,1966-10-22,2002-06-04,Consulting,Senior Consultant,E1005,Contract
E1206,Joshua,Michael,Non-Binary,1989-05-02,2023-04-29,IT,IT Manager,E1002,Contract
E1207,Henry,Zimmerman,Female,1996-05-23,2023-07-03,Accounting,Billing Specialist,,Full-time
E1208,Bradley,Anderson,Male,1990-09-08,2010-05-28,Consulting,Lead Consultant,,Contract
E1209,Jose,Acosta,Female,1997-06-07,2015-11-28,IT,System Administrator,E1070,Full-time
E1210,Nathan,Carey,Male,1973-01-12,1991-06-07,Consulting,Lead Consultant,E1046,Full-time
E1211,Emily,Sandoval,Male,1987-03-28,2020-12-18,Sales,Sales Manager,,Contract
E1212,Scott,Jackson,Female,1971-08-08,2000-02-25,Accounting,Billing Specialist,,Full-time
E1213,Rebecca,Miller,Non-Binary,1965-05-15,1991-02-25,IT,IT Manager,,Full-time
E1214,Stephanie,Lopez,Non-Binary,2002-08-13,2020-01-09,IT,Software Engineer,E1032,Part-time
E1215,Kelly,Green,Non-Binary,1981-07-19,2017-04-10,Accounting,Accountant,,Full-time
E1216,Mary,Black,Non-Binary,1999-09-13,2021-01-31,Sales,Account Executive,E1033,Contract
E1217,Lori,Brown,Male,1975-03-13,2008-11-11,HR,HR Assistant,,Full-time
E1218,Joshua,Phillips,Male,1969-03-17,1987-04-01,Recruitment,Recruitment Manager,E1047,Part-time
E1219,Jose,Jackson,Female,1969-01-09,2022-03-24,Accounting,Finance Manager,E1100,Contract
E1220,Paige,Hernandez,Male,1981-01-28,2019-04-09,Accounting,Accountant,,Full-time
E1221,David,Little,Female,1958-12-13,1998-06-10,Consulting,Senior Consultant,,Full-time
E1222,Daniel,Valdez,Female,1996-09-23,2014-03-09,IT,IT Manager,E1030,Full-time
E1223,Courtney,Joseph,Non-Binary,1961-08-11,2023-07-23,Accounting,Billing Specialist,E1007,Full-time
E1224,Jeremy,Walsh,Male,1989-04-26,2020-05-22,IT,Software Engineer,,Contract
E1225,Cynthia,Grimes,Non-Binary,1987-12-24,2006-07-12,HR,HR Manager,E1099,Full-time
E1226,Chase,Castro,Male,1988-07-31,2023-08-15,Sales,Sales Associate,E1055,Part-time
E1227,Christian,Garrett,Male,1964-01-06,2024-06-13,Recruitment,Senior Recruiter,E1005,Full-time
E1228,Christopher,Stark,Non-Binary,1980-05-30,1999-04-01,HR,HR Manager,,Full-time
E1229,Timothy,Mcintosh,Male,1975-03-14,1999-08-22,Sales,Sales Associate,,Full-time
E1230,Connie,Arroyo,Female,1964-11-06,1983-02-19,IT,Software Engineer,E1098,Part-time
E1231,Jacob,Jackson,Non-Binary,1994-07-02,2012-01-28,IT,Software Engineer,,Part-time
E1232,Raven,Wheeler,Male,1968-03-22,2021-12-10,HR,HR Specialist,E1051,Part-time
E1233,Jon,Warner,Non-Binary,1987-11-10,2011-07-17,Sales,Sales Associate,,Contract
E1234,Kevin,Edwards,Male,2002-12-04,2020-09-07,HR,HR Specialist,E1060,Part-time
E1235,Troy,Walker,Non-Binary,1985-07-07,2012-11-15,Sales,Sales Associate,,Contract
E1236,Kristen,Riggs,Male,1969-02-14,1999-11-12,Accounting,Accountant,E1000,Part-time
E1237,Vincent,Bates,Non-Binary,2004-07-31,2024-01-13,HR,HR Assistant,,Full-time
E1238,Joann,Evans,Male,1971-08-20,2011-11-08,HR,HR Assistant,,Full-time
E1239,Ian,Greer,Female,1964-06-01,2008-04-12,Sales,Sales Associate,,Part-time
E1240,Jamie,Fuller,Female,1997-11-09,2022-09-14,Recruitment,Recruitment Manager,,Part-time
E1241,Glenda,Aguilar,Male,1996-06-03,2024-11-02,IT,System Administrator,,Part-time
E1242,Yesenia,Hall,Male,1996-02-16,2020-02-09,IT,Software Engineer,,Full-time
E1243,Rebecca,Brock,Non-Binary,1974-05-28,2009-06-21,Consulting,Consultant,E1014,Contract
E1244,Heather,Cortez,Male,1972-12-05,1992-08-27,Consulting,Senior Consultant,,Contract
E1245,Sarah,Hayes,Non-Binary,1998-01-16,2022-08-31,Accounting,Accountant,E1088,Full-time
E1246,Brenda,Romero,Non-Binary,1988-06-17,2021-06-29,IT,IT Manager,E1052,Contract
E1247,Travis,Page,Female,1994-11-14,2014-06-27,HR,HR Specialist,E1004,Contract
E1248,Elizabeth,Lyons,Male,1967-01-08,2000-06-27,Consulting,Consultant,E1033,Full-time
E1249,Kimberly,Perez,Female,1971-11-01,2004-01-25,HR,HR Specialist,E1052,Part-time
E1250,Christopher,Aguirre,Male,2004-09-02,2022-08-14,Consulting,Senior Consultant,E1082,Full-time
E1251,Joel,Lara,Male,1984-12-03,2023-09-18,HR,HR Manager,,Part-time
E1252,James,Lane,Female,1999-08-13,2023-11-27,Sales,Account Executive,E1018,Part-time
E1253,Cameron,Walker,Female,1973-06-21,2011-09-05,HR,HR Specialist,E1039,Part-time
E1254,Erin,Johnson,Male,1993-04-06,2024-06-08,Consulting,Lead Consultant,,Full-time
E1255,Jerry,Bradford,Female,1997-08-24,2023-12-09,HR,HR Assistant,,Part-time
E1256,Barbara,Obrien,Non-Binary,1983-08-24,2013-01-23,IT,Software Engineer,,Contract
E1257,Robert,Gallagher,Female,1993-11-01,2017-03-25,IT,Software Engineer,E1069,Contract
E1258,Sharon,Collins,Male,1990-12-17,2016-02-25,IT,Software Engineer,E1071,Contract
E1259,Ethan,Singleton,Male,2003-03-31,2021-08-24,Accounting,Accountant,E1070,Part-time
E1260,Dustin,Bates,Non-Binary,1970-07-18,2004-05-25,IT,IT Manager,,Full-time
E1261,Christine,Brown,Male,1996-03-18,2024-02-01,Sales,Sales Manager,,Full-time
E1262,Mckenzie,Garcia,Female,1991-05-02,2023-06-11,Consulting,Lead Consultant,E1045,Part-time
E1263,Maria,Williams,Female,1989-04-09,2021-10-19,Recruitment,Senior Recruiter,E1062,Full-time
E1264,Beth,Bailey,Male,1980-07-29,2013-12-21,Sales,Sales Manager,,Full-time
E1265,Kara,Bowen,Male,1997-12-18,2022-01-24,HR,HR Manager,E1086,Contract
E1266,Karen,Tucker,Male,1971-02-21,1998-08-05,HR,HR Assistant,,Part-time
E1267,Laura,Ball,Male,2001-03-22,2024-11-12,Recruitment,Senior Recruiter,E1031,Full-time
E1268,Dawn,Johnson,Non-Binary,1975-03-25,2023-10-09,HR,HR Assistant,,Part-time
E1269,Victor,Ramos,Female,1985-09-29,2023-08-17,Consulting,Lead Consultant,E1073,Contract
E1270,Emily,Mack,Male,2001-07-22,2019-03-16,IT,IT Manager,,Full-time
E1271,Kelsey,Miller,Female,1994-09-24,2021-09-20,Accounting,Finance Manager,,Full-time
E1272,Elizabeth,Ballard,Male,1988-03-07,2015-10-18,IT,IT Manager,E1004,Contract
E1273,Shaun,Smith,Male,1980-01-04,2016-08-17,Sales,Sales Associate,,Contract
E1274,Nicole,Curry,Male,2000-08-10,2023-11-21,HR,HR Assistant,,Contract
E1275,Dennis,Harmon,Female,1963-11-02,1985-05-20,IT,IT Manager,E1078,Part-time
E1276,Alejandro,Torres,Female,1970-05-03,1989-04-29,HR,HR Assistant,E1046,Contract
E1277,Dawn,Mcdaniel,Female,1984-06-26,2006-05-31,HR,HR Specialist,E1088,Contract
E1278,Amber,Willis,Male,1975-12-29,2003-02-05,Accounting,Accountant,,Part-time
E1279,Matthew,Franco,Female,1962-04-15,2009-08-20,Accounting,Billing Specialist,,Contract
E1280,Brandy,Singh,Non-Binary,1979-08-11,2021-08-29,HR,HR Assistant,E1014,Contract
